Unnamed: 0,Mumbai.total.confirmed,Mumbai.total.deceased,Mumbai.total.recovered,Mumbai.delta.confirmed,Mumbai.delta.deceased,Mumbai.delta.recovered,Mumbai.delta.tested,Mumbai.total.tested,Mumbai.delta.other,Mumbai.total.other,Mumbai.total.deceased.shift,Mumbai.Levitt.Metric,Mumbai.MA.daily.tests,Mumbai.MA.daily.positivity,Mumbai.percent.case.growth
2020-08-24,137096.0,7442.0,111082.0,743.0,20.0,1023.0,5960.0,715543.0,,305.0,7422.0,1.002694691457828,,0.12466442953020135,-0.2502522704339052
2020-08-25,137683.0,7477.0,111962.0,587.0,35.0,880.0,,715543.0,1.0,306.0,7442.0,1.0047030368180596,,,-0.20995962314939431
2020-08-26,139537.0,7505.0,112743.0,1854.0,28.0,781.0,19076.0,734619.0,4.0,310.0,7477.0,1.0037448174401498,,0.09719018662193332,2.1584327086882453
2020-08-27,140888.0,7535.0,113577.0,1351.0,30.0,834.0,9266.0,743885.0,3.0,313.0,7505.0,1.0039973351099267,,0.14580185624865097,-0.27130528586839264
2020-08-28,142108.0,7565.0,114818.0,1220.0,30.0,1241.0,9984.0,753869.0,5.0,318.0,7535.0,1.0039814200398143,,0.12219551282051282,-0.09696521095484822
2020-08-29,143389.0,7596.0,115500.0,1281.0,31.0,682.0,8803.0,762672.0,4.0,322.0,7565.0,1.004097818902842,,0.14551857321367714,0.050000000000000044
2020-08-30,144626.0,7626.0,116352.0,1237.0,30.0,852.0,6146.0,768818.0,5.0,327.0,7596.0,1.003949447077409,,0.20126911812561016,-0.03434816549570652
2020-08-31,145805.0,7658.0,117268.0,1179.0,32.0,916.0,7156.0,775974.0,1.0,328.0,7626.0,1.004196170993968,,0.16475684740078256,-0.04688763136620855
2020-09-01,146947.0,7693.0,118859.0,1142.0,35.0,1591.0,8418.0,784392.0,,328.0,7658.0,1.0045703839122486,,0.1356616773580423,-0.031382527565733676
2020-09-02,148569.0,7727.0,119702.0,1622.0,34.0,843.0,8393.0,792785.0,2.0,330.0,7693.0,1.0044196022357987,,0.19325628499940425,0.4203152364273204
2020-09-03,150095.0,7764.0,120561.0,1526.0,37.0,859.0,9862.0,802647.0,1.0,331.0,7727.0,1.0047884042966222,,0.15473534779963496,-0.05918618988902591
2020-09-04,152024.0,7799.0,121671.0,1929.0,35.0,1110.0,10388.0,813035.0,1.0,332.0,7764.0,1.004507985574446,,0.18569503273007315,0.26408912188728695
2020-09-05,153712.0,7832.0,122566.0,1688.0,33.0,895.0,11851.0,824886.0,4.0,336.0,7799.0,1.004231311706629,,0.14243523753269766,-0.12493519958527732
2020-09-06,155622.0,7869.0,123478.0,1910.0,37.0,912.0,-90542.0,734344.0,,336.0,7832.0,1.0047242083758938,,-0.02109518234631442,0.13151658767772512
2020-09-07,157410.0,7900.0,125017.0,1788.0,31.0,1539.0,109347.0,843691.0,7.0,343.0,7869.0,1.0039395094675307,,0.01635161458476227,-0.06387434554973825
2020-09-08,158756.0,7942.0,125906.0,1346.0,42.0,889.0,12763.0,856454.0,5.0,348.0,7900.0,1.0053164556962024,,0.10546109848781635,-0.24720357941834448
2020-09-09,160744.0,7985.0,126743.0,1988.0,43.0,837.0,15701.0,872155.0,3.0,351.0,7942.0,1.005414253336691,,0.12661613909942043,0.47696879643387824
2020-09-10,163115.0,8023.0,128112.0,2371.0,38.0,1369.0,15119.0,887274.0,,351.0,7985.0,1.0047589229805887,,0.15682254117335803,0.1926559356136821
2020-09-11,165306.0,8067.0,129244.0,2191.0,44.0,1132.0,,887274.0,2.0,353.0,8023.0,1.005484232830612,,,-0.07591733445803461
2020-09-12,167656.0,8109.0,130016.0,2350.0,42.0,772.0,,887274.0,2.0,355.0,8067.0,1.0052063964298996,,,0.07256960292104053
2020-09-13,167656.0,8109.0,130016.0,,,,,887274.0,,355.0,8109.0,1.0,,,0.0
