date,district,state,total.confirmed,total.deceased,total.recovered,delta.confirmed,delta.deceased,delta.recovered,delta.tested,total.tested,delta.other,total.other,levitt.Metric,MA.21.daily.tests,delta.positivity,MA.21.delta.positivity,delta.percent.case.growth,MA.21.delta.percent.case.growth,delta.hospitalized,total.hospitalized,delta.active
2020-07-24,Mumbai,MH,106980.0,5984.0,78259.0,1057.0,54.0,1157.0,7609.0,470330.0,2.0,294.0,0.009065027662541964,5734.142857142857,13.891444342226311,21.21952203178586,-0.15100401606425706,0.010451333959969973,133.66441515456754,7681.968721769341,22737.0
2020-07-25,Mumbai,MH,108060.0,6036.0,78876.0,1080.0,52.0,617.0,8495.0,478825.0,,294.0,0.008652300233426434,5913.142857142857,12.713360800470866,20.65555883953029,0.021759697256386046,0.018829501361789222,159.98819547157467,7841.956917240916,23148.0
2020-07-26,Mumbai,MH,109161.0,6093.0,80238.0,1101.0,57.0,1362.0,6738.0,485563.0,,294.0,0.009399030360754786,6019.238095238095,16.340160284951025,20.074776692820638,0.019444444444444375,0.01467824594226209,166.98566068804539,8008.942577928961,22830.0
2020-07-27,Mumbai,MH,110182.0,6132.0,81944.0,1021.0,39.0,1706.0,8776.0,494339.0,,294.0,0.006380389743210446,6248.523809523809,11.634001823154057,19.186139638944308,-0.07266121707538598,0.01443719120529455,155.68028654440013,8164.622864473362,22106.0
2020-07-28,Mumbai,MH,110882.0,6187.0,84411.0,700.0,55.0,2467.0,11643.0,505982.0,,294.0,0.008929355539284093,6541.857142857143,6.012196169372155,18.790673753885446,-0.3143976493633692,0.015934128537197605,93.4095214955113,8258.032385968872,20284.0
2020-07-29,Mumbai,MH,111991.0,6247.0,85327.0,1109.0,60.0,916.0,10732.0,516714.0,,294.0,0.009651031962581035,6789.142857142857,10.333581811405143,18.12472674310796,0.5842857142857143,0.009665659366089667,162.20758863501203,8420.239974603885,20417.0
2020-07-30,Mumbai,MH,113199.0,6300.0,86447.0,1208.0,53.0,1120.0,10268.0,526982.0,,294.0,0.008448284886054244,7020.380952380952,11.76470588235294,17.56926435120367,0.08926961226330032,0.016709395630757733,176.58861162526892,8596.828586229154,20452.0
2020-07-31,Mumbai,MH,114284.0,6353.0,87074.0,1085.0,53.0,627.0,10554.0,537536.0,,294.0,0.008377508886909206,7242.047619047619,10.280462383930264,16.979531205172503,-0.10182119205298013,0.009269510114640151,131.43135321045406,8728.259939439607,20857.0
2020-08-01,Mumbai,MH,115331.0,6398.0,87906.0,1047.0,45.0,832.0,9084.0,546620.0,2.0,296.0,0.007058299242929982,7399.9047619047615,11.525759577278732,16.468524981442393,-0.035023041474654404,0.009489412296083577,165.63892289324528,8893.898862332853,21027.0
2020-08-02,Mumbai,MH,116436.0,6447.0,88299.0,1105.0,49.0,393.0,5374.0,551994.0,,296.0,0.007629464801156942,7404.476190476191,20.5619650167473,16.326209632540323,0.05539637058261704,0.013647880617848903,173.16137592342415,9067.060238256277,21690.0
2020-08-03,Mumbai,MH,117406.0,6493.0,90089.0,970.0,46.0,1790.0,7793.0,559787.0,,296.0,0.0071097671978667,7526.0,12.447067881432055,15.866783339544488,-0.12217194570135748,0.011086499607743269,131.14002598140797,9198.200264237685,20824.0
2020-08-04,Mumbai,MH,118115.0,6549.0,90960.0,709.0,56.0,871.0,7244.0,567031.0,1.0,297.0,0.008587692709566863,7557.666666666667,9.787410270568747,15.642341733641663,-0.26907216494845365,0.006662387139188726,110.7803448721068,9308.98060910979,20606.0
2020-08-05,Mumbai,MH,119240.0,6591.0,91673.0,1125.0,42.0,713.0,8888.0,575919.0,,297.0,0.0063927158346663675,7644.238095238095,12.657515751575158,15.319641096230983,0.5867418899858956,0.013638116551514997,152.91775169982895,9461.89836080962,20976.0
2020-08-06,Mumbai,MH,120150.0,6648.0,92659.0,910.0,57.0,986.0,7241.0,583160.0,,297.0,0.008610975482564127,7705.476190476191,12.567324955116696,14.737804465210392,-0.19111111111111112,0.0010025489814496067,124.37687573508298,9586.275236544703,20843.0
2020-08-07,Mumbai,MH,121012.0,6693.0,93898.0,862.0,45.0,1239.0,9070.0,592230.0,,297.0,0.00674614656535818,7850.0952380952385,9.503858875413451,14.232147330209795,-0.05274725274725278,0.006943478615759032,124.74718966010818,9711.02242620481,20421.0
2020-08-08,Mumbai,MH,122316.0,6751.0,95354.0,1304.0,58.0,1456.0,7561.0,599791.0,,297.0,0.00862843794122817,7931.619047619048,17.246395979367808,14.087834261499005,0.5127610208816706,0.032458967724974856,160.88829713248825,9871.910723337298,20211.0
2020-08-09,Mumbai,MH,123382.0,6799.0,96586.0,1066.0,48.0,1232.0,5628.0,605419.0,,297.0,0.007084900484589139,7962.047619047619,18.941009239516703,13.999036001478853,-0.18251533742331283,0.02971010439147895,162.470570099673,10034.38129343697,19997.0
2020-08-11,Mumbai,MH,125224.0,6893.0,99147.0,917.0,48.0,1154.0,17544.0,622963.0,,297.0,0.013730861359192244,8565.714285714286,5.226858185134519,13.235283213382631,-0.13977485928705435,0.023191786016400394,134.50085598498782,10168.88214942196,19184.0
2020-08-12,Mumbai,MH,126356.0,6943.0,100069.0,1132.0,50.0,922.0,14913.0,637876.0,,297.0,0.007227553867621514,8924.619047619048,7.590692684235231,12.98665800187891,0.23446019629225745,0.038497344017895056,161.61570813137993,10330.497857553339,19344.0
2020-08-14,Mumbai,MH,128535.0,7038.0,101860.0,979.0,47.0,906.0,7275.0,645151.0,3.0,300.0,0.013590081128257105,8982.857142857143,13.45704467353952,12.596720274596795,-0.13515901060070667,0.013668658453890632,148.2274376513746,10478.725295204713,19637.0
2020-08-15,Mumbai,MH,127716.0,7086.0,102749.0,1116.0,48.0,889.0,6442.0,651593.0,,300.0,0.006796967543886885,8993.904761904761,17.323812480596086,12.466982336589751,0.13993871297242078,0.022695183862610054,167.09263398301067,10645.817929187724,17881.0
2020-08-16,Mumbai,MH,128726.0,7133.0,103468.0,1010.0,47.0,719.0,5097.0,656690.0,,300.0,0.0066108968526208105,8874.285714285714,19.81557779085737,12.749083929381708,-0.09498207885304655,0.02536289515838198,158.37584712639998,10804.193776314123,18125.0
2020-08-17,Mumbai,MH,129479.0,7173.0,104301.0,753.0,40.0,833.0,6710.0,663400.0,1.0,301.0,0.005592073848396345,8789.285714285714,11.222056631892698,12.6780694451637,-0.25445544554455446,0.012209793120241957,112.98288386544607,10917.17666017957,18005.0
2020-08-20,Mumbai,MH,132822.0,7314.0,107033.0,1280.0,46.0,976.0,25476.0,688876.0,,303.0,0.01946634258289206,9681.57142857143,5.024336630554247,12.139220699716237,0.699867197875166,0.04461087661694299,173.20148187944505,11090.378142059015,18475.0
2020-08-21,Mumbai,MH,134228.0,7356.0,108268.0,1406.0,42.0,1235.0,8492.0,697368.0,2.0,305.0,0.0057259870148851635,9668.047619047618,16.556759302873292,12.373637722560009,0.09843749999999996,0.05275843457291375,197.3465998397597,11287.724741898775,18604.0
2020-08-23,Mumbai,MH,136353.0,7422.0,110059.0,991.0,34.0,691.0,12215.0,709583.0,,305.0,0.00893225589633123,9695.285714285714,8.112975849365533,12.47367485017874,-0.2951635846372689,0.05367434241701377,149.02088785034675,11436.745629749123,18872.0
2020-08-24,Mumbai,MH,137096.0,7442.0,111082.0,743.0,20.0,1023.0,5960.0,715543.0,,305.0,0.002691067286024908,9468.047619047618,12.466442953020135,12.57523966644612,-0.2502522704339052,0.013934438382746175,95.76547349482746,11532.51110324395,18572.0
2020-08-26,Mumbai,MH,139537.0,7505.0,112743.0,1854.0,28.0,781.0,19076.0,734619.0,4.0,310.0,0.008429835160994568,9887.47619047619,9.719018662193331,12.477825989295663,1.4952893674293404,0.08088776005731951,227.7550074252045,11760.266110669156,19289.0
2020-08-27,Mumbai,MH,140888.0,7535.0,113577.0,1351.0,30.0,834.0,9266.0,743885.0,3.0,313.0,0.003989366993033515,9826.142857142857,14.580185624865097,12.682574715054464,-0.27130528586839264,0.07281708892325225,186.30768359767737,11946.573794266833,19776.0
2020-08-28,Mumbai,MH,142108.0,7565.0,114818.0,1220.0,30.0,1241.0,9984.0,753869.0,5.0,318.0,0.003973515161860535,9869.0,12.219551282051281,12.71561241528173,-0.09696521095484822,0.06986746180514777,181.36280969036716,12127.9366039572,19725.0
2020-08-29,Mumbai,MH,143389.0,7596.0,115500.0,1281.0,31.0,682.0,8803.0,762672.0,4.0,322.0,0.004089445709720168,10032.285714285714,14.551857321367715,12.429416810739843,0.050000000000000044,0.06961049177740411,190.4339219628745,12318.370525920074,20293.0
2020-08-30,Mumbai,MH,144626.0,7626.0,116352.0,1237.0,30.0,852.0,6146.0,768818.0,5.0,327.0,0.003941668485332465,9953.857142857143,20.126911812561016,12.795123664603125,-0.03434816549570652,0.07379257654910178,167.24070176136578,12485.61122768144,20648.0
2020-08-31,Mumbai,MH,145805.0,7658.0,117268.0,1179.0,32.0,916.0,7156.0,775974.0,1.0,328.0,0.004187391619730728,9949.666666666666,16.475684740078258,13.113612925055959,-0.04688763136620855,0.0843727924339706,178.21115142643905,12663.82237910788,20879.0
2020-09-01,Mumbai,MH,146947.0,7693.0,118859.0,1142.0,35.0,1591.0,8418.0,784392.0,,328.0,0.00455997142169484,9927.285714285714,13.56616773580423,13.156882067162107,-0.031382527565733676,0.054938296360083495,176.5908568225186,12840.413235930399,20395.0
2020-09-02,Mumbai,MH,148569.0,7727.0,119702.0,1622.0,34.0,843.0,8393.0,792785.0,2.0,330.0,0.004409864474649169,9982.142857142857,19.325628499940425,13.478706045487044,0.4203152364273204,0.08405383671905643,232.75368141624614,13073.166917346645,21140.0
2020-09-03,Mumbai,MH,150095.0,7764.0,120561.0,1526.0,37.0,859.0,9862.0,802647.0,1.0,331.0,0.004776976355316958,10019.857142857143,15.473534779963497,13.762976326656092,-0.05918618988902591,0.08374722066468629,236.70008455159186,13309.867001898238,21770.0
2020-09-04,Mumbai,MH,152024.0,7799.0,121671.0,1929.0,35.0,1110.0,10388.0,813035.0,1.0,332.0,0.004497855041597101,10154.47619047619,18.569503273007314,13.825981435877022,0.26408912188728695,0.07190570166495373,281.5265329391686,13591.393534837405,22554.0
2020-09-05,Mumbai,MH,153712.0,7832.0,122566.0,1688.0,33.0,895.0,11851.0,824886.0,4.0,336.0,0.004222384879848261,10450.809523809523,14.243523753269766,13.602291650817644,-0.12493519958527732,0.07464761299057447,254.3191491272528,13845.712683964659,23314.0
2020-09-06,Mumbai,MH,155622.0,7869.0,123478.0,1910.0,37.0,912.0,26331.0,734344.0,,336.0,0.004713084324637107,10869.238095238095,7.2538072993809575,13.698813037210332,0.13151658767772512,0.08756625332223064,242.47089333538923,14088.183577300048,24275.0
2020-09-07,Mumbai,MH,157410.0,7900.0,125017.0,1788.0,31.0,1539.0,109347.0,843691.0,7.0,343.0,0.003931769920129426,15366.095238095239,1.635161458476227,13.415216312174188,-0.06387434554973825,0.07335984656784988,285.7797734912335,14373.96335079128,24493.0
2020-09-08,Mumbai,MH,158756.0,7942.0,125906.0,1346.0,42.0,889.0,12763.0,856454.0,5.0,348.0,0.005302373236083807,15627.42857142857,10.546109848781635,13.276600368138096,-0.24720357941834448,0.06802439090986713,184.38894350233124,14558.352294293612,24908.0
2020-09-09,Mumbai,MH,160744.0,7985.0,126743.0,1988.0,43.0,837.0,15701.0,872155.0,3.0,351.0,0.005399648957916014,16068.333333333334,12.661613909942043,13.054590912392666,0.47696879643387824,0.08407344250326987,314.85708981233086,14873.209384105943,26016.0
2020-09-10,Mumbai,MH,163115.0,8023.0,128112.0,2371.0,38.0,1369.0,15119.0,887274.0,,351.0,0.004747635104543242,16545.571428571428,15.682254117335804,12.857765975558303,0.1926559356136821,0.09777049081120934,352.19652871174367,15225.405912817687,26980.0
